Year,Deciml Date,Monthly Average
1958,1958.2027,315.70
1958,1958.2877,317.45
1958,1958.3699,317.51
1958,1958.4548,317.24
1958,1958.5370,315.86
1958,1958.6219,314.93
1958,1958.7068,313.20
1958,1958.7890,312.43
1958,1958.8740,313.33
1958,1958.9562,314.67
1959,1959.0411,315.58
1959,1959.1260,316.48
1959,1959.2027,316.65
1959,1959.2877,317.72
1959,1959.3699,318.29
1959,1959.4548,318.15
1959,1959.5370,316.54
1959,1959.6219,314.80
1959,1959.7068,313.84
1959,1959.7890,313.33
1959,1959.8740,314.81
1959,1959.9562,315.58
1960,1960.0410,316.43
1960,1960.1257,316.98
1960,1960.2049,317.58
1960,1960.2896,319.03
1960,1960.3716,320.04
1960,1960.4563,319.59
1960,1960.5383,318.18
1960,1960.6230,315.90
1960,1960.7077,314.17
1960,1960.7896,313.83
1960,1960.8743,315.00
1960,1960.9563,316.19
1961,1961.0411,316.89
1961,1961.1260,317.70
1961,1961.2027,318.54
1961,1961.2877,319.48
1961,1961.3699,320.58
1961,1961.4548,319.77
1961,1961.5370,318.57
1961,1961.6219,316.79
1961,1961.7068,314.99
1961,1961.7890,315.31
1961,1961.8740,316.10
1961,1961.9562,317.01
1962,1962.0411,317.94
1962,1962.1260,318.55
1962,1962.2027,319.68
1962,1962.2877,320.57
1962,1962.3699,321.02
1962,1962.4548,320.62
1962,1962.5370,319.61
1962,1962.6219,317.40
1962,1962.7068,316.25
1962,1962.7890,315.42
1962,1962.8740,316.69
1962,1962.9562,317.70
1963,1963.0411,318.74
1963,1963.1260,319.07
1963,1963.2027,319.86
1963,1963.2877,321.38
1963,1963.3699,322.25
1963,1963.4548,321.48
1963,1963.5370,319.74
1963,1963.6219,317.77
1963,1963.7068,316.21
1963,1963.7890,315.99
1963,1963.8740,317.07
1963,1963.9562,318.35
1964,1964.0410,319.57
1964,1964.1257,320.01
1964,1964.2049,320.74
1964,1964.2896,321.84
1964,1964.3716,322.26
1964,1964.4563,321.89
1964,1964.5383,320.44
1964,1964.6230,318.69
1964,1964.7077,316.70
1964,1964.7896,316.87
1964,1964.8743,317.68
1964,1964.9563,318.71
1965,1965.0411,319.44
1965,1965.1260,320.44
1965,1965.2027,320.89
1965,1965.2877,322.14
1965,1965.3699,322.17
1965,1965.4548,321.87
1965,1965.5370,321.21
1965,1965.6219,318.87
1965,1965.7068,317.81
1965,1965.7890,317.30
1965,1965.8740,318.87
1965,1965.9562,319.42
1966,1966.0411,320.62
1966,1966.1260,321.60
1966,1966.2027,322.39
1966,1966.2877,323.70
1966,1966.3699,324.08
1966,1966.4548,323.75
1966,1966.5370,322.38
1966,1966.6219,320.36
1966,1966.7068,318.64
1966,1966.7890,318.10
1966,1966.8740,319.78
1966,1966.9562,321.03
1967,1967.0411,322.33
1967,1967.1260,322.50
1967,1967.2027,323.04
1967,1967.2877,324.42
1967,1967.3699,325.00
1967,1967.4548,324.09
1967,1967.5370,322.54
1967,1967.6219,320.92
1967,1967.7068,319.25
1967,1967.7890,319.39
1967,1967.8740,320.73
1967,1967.9562,321.96
1968,1968.0410,322.57
1968,1968.1257,323.15
1968,1968.2049,323.89
1968,1968.2896,325.02
1968,1968.3716,325.57
1968,1968.4563,325.36
1968,1968.5383,324.14
1968,1968.6230,322.11
1968,1968.7077,320.33
1968,1968.7896,320.25
1968,1968.8743,321.32
1968,1968.9563,322.89
1969,1969.0411,324.00
1969,1969.1260,324.42
1969,1969.2027,325.63
1969,1969.2877,326.66
1969,1969.3699,327.38
1969,1969.4548,326.71
1969,1969.5370,325.88
1969,1969.6219,323.66
1969,1969.7068,322.38
1969,1969.7890,321.78
1969,1969.8740,322.86
1969,1969.9562,324.12
1970,1970.0411,325.06
1970,1970.1260,325.98
1970,1970.2027,326.93
1970,1970.2877,328.13
1970,1970.3699,328.08
1970,1970.4548,327.67
1970,1970.5370,326.34
1970,1970.6219,324.69
1970,1970.7068,323.10
1970,1970.7890,323.06
1970,1970.8740,324.01
1970,1970.9562,325.13
1971,1971.0411,326.17
1971,1971.1260,326.68
1971,1971.2027,327.17
1971,1971.2877,327.79
1971,1971.3699,328.93
1971,1971.4548,328.57
1971,1971.5370,327.36
1971,1971.6219,325.43
1971,1971.7068,323.36
1971,1971.7890,323.56
1971,1971.8740,324.80
1971,1971.9562,326.01
1972,1972.0410,326.77
1972,1972.1257,327.63
1972,1972.2049,327.75
1972,1972.2896,329.72
1972,1972.3716,330.07
1972,1972.4563,329.09
1972,1972.5383,328.04
1972,1972.6230,326.32
1972,1972.7077,324.84
1972,1972.7896,325.20
1972,1972.8743,326.50
1972,1972.9563,327.55
1973,1973.0411,328.55
1973,1973.1260,329.56
1973,1973.2027,330.30
1973,1973.2877,331.50
1973,1973.3699,332.48
1973,1973.4548,332.07
1973,1973.5370,330.87
1973,1973.6219,329.31
1973,1973.7068,327.51
1973,1973.7890,327.18
1973,1973.8740,328.16
1973,1973.9562,328.64
